prompt_id,source,category,prompt_text
SQUAD_097,squad_v1,explanatory,How many championships have the sports leagues won since 2001?
SQUAD_098,squad_v1,explanatory,How often are European serialized comics in magazines?
SQUAD_099,squad_v1,explanatory,How did early humans locate meat without hunting ?
SQUAD_100,squad_v1,explanatory,"How many times did Sumerian farmers plow, harrow and rake the ground?"
SQUAD_101,squad_v1,explanatory,How many seasons are experienced in the city of Ann Arbor?
SQUAD_102,squad_v1,explanatory,Why are the Mollusca and Annelida considered to be close relatives?
SQUAD_103,squad_v1,explanatory,How many members are there in the Swazi House of Assembly?
SQUAD_104,squad_v1,explanatory,How many reserve soldiers did North Korea have?
SQUAD_105,squad_v1,explanatory,How many cannons did the French capture when Vienna fell?
SQUAD_106,squad_v1,explanatory,How long was Disraeli in office?
SQUAD_107,squad_v1,explanatory,How many children did Pelagija bore for Tito?
SQUAD_108,squad_v1,explanatory,How many hourglasses did Magellan use on each ship during his famous voyage across the globe?
SQUAD_109,squad_v1,explanatory,How many seats did the proposal for the new Everton stadium feature in 2000?
SQUAD_110,squad_v1,explanatory,How many times have KU teams appeared in the National Debate Tournament?
SQUAD_111,squad_v1,explanatory,How much revenue did beer bring in in 2006?
SQUAD_112,squad_v1,explanatory,How did pos-punk give rise to pop?
SQUAD_113,squad_v1,explanatory,How many books on mathematics did Whitehead write?
SQUAD_114,squad_v1,explanatory,How many male workers were present in Plymouth Dock circa 1712?
SQUAD_115,squad_v1,explanatory,How much larger is a dog brain olfactory cortex when compared to humans?
SQUAD_116,squad_v1,explanatory,How many Nobel Prize-winning scientists has Israel produced?
SQUAD_117,squad_v1,explanatory,How much money does the University of Houston attract to Houston a year?
SQUAD_118,squad_v1,explanatory,"How long did a student have to study law, in early Islamic law graduate schools, in order to graduate?"
SQUAD_119,squad_v1,explanatory,How many times could it add or subtract a second?
SQUAD_120,squad_v1,explanatory,How many German bombs hit their target?
SQUAD_121,squad_v1,ambiguous,Precursors of what subset of Scythian are theorized to have existed?
SQUAD_122,squad_v1,ambiguous,Theories that there were invasions which overwhelmed or assimilated previous migrants into the Americas have been what?
SQUAD_123,squad_v1,ambiguous,"Along with the Prospect of Whitby, what pub was Samuel Pepys associated with?"
SQUAD_124,squad_v1,ambiguous,One would be studying how the dynamic of a city is affected if one were looking directly at different what?
SQUAD_125,squad_v1,ambiguous,Did the FBI investigate Martin Luther King Jr.?
SQUAD_126,squad_v1,ambiguous,In what type of applications is piezeoelectricity especially problematic?
SQUAD_127,squad_v1,ambiguous,Downtown Houston consisted of what type of building in the 1960's?
SQUAD_128,squad_v1,ambiguous,The English occupied New York City beginning on what date?
SQUAD_129,squad_v1,ambiguous,Did the UN troops or Chinese troops experience more war casualties?
SQUAD_130,squad_v1,ambiguous,Which contestant drew attention because he was a former stripper?
SQUAD_131,squad_v1,ambiguous,Out of how many of the white fireman got a promotion afterwards?
SQUAD_132,squad_v1,ambiguous,Thomas Hobbes ushered in the new debate of social contract theory through which work of his?
SQUAD_133,squad_v1,ambiguous,"In Ancient India, which vernacular languages existed alongside Sanskrit?"
SQUAD_134,squad_v1,ambiguous,In which year did Imperial University claim the award for being voted the highest in the UK for Job Prospects?
SQUAD_135,squad_v1,ambiguous,Which song by Jay Z talked about the pregnancy struggles?
SQUAD_136,squad_v1,ambiguous,Which ship was the target of Argentinian aggression?
SQUAD_137,squad_v1,ambiguous,To what world organization does Tuvalu belong?
SQUAD_138,squad_v1,ambiguous,In what year did the supreme court determine that delegating powers by congress was unconstitutional?
SQUAD_139,squad_v1,ambiguous,Which channel aired 'Terra Nova'?
SQUAD_140,squad_v1,ambiguous,In what id Jayapala see a danger to his dynasty?
SQUAD_141,squad_v1,ambiguous,"Prior to his schooling, what was the state of Hayek's reading skills?"
SQUAD_142,squad_v1,ambiguous,In what year was Show Boat released?
SQUAD_143,squad_v1,ambiguous,"Other than the Jewish Theological Seminary, which other Seminary touches Seminary Row?"
SQUAD_144,squad_v1,ambiguous,For whom did de Peyster name Ellice's Island?
SQUAD_145,squad_v1,ambiguous,Which street marks the western boundary of the shopping distrit?
SQUAD_146,squad_v1,ambiguous,The version of Twilight Princess fo which console won three IGN awards?
SQUAD_147,squad_v1,ambiguous,"a larger three-byte SPLIT token with a seven-bit hub number, 12 bits of control flags, and a five-bit CRC were created to do what?"
SQUAD_148,squad_v1,ambiguous,Which writer and artist was behind the Sub-Mariner?
SQUAD_149,squad_v1,ambiguous,Which contestants did the judges save on season ten of American Idol?
SQUAD_150,squad_v1,ambiguous,Which part of Detroit has gotten billions in investment around the turn of the millennium?
NQ_001,natural_questions,factual,when did the nebraska state fair move to grand island
NQ_002,natural_questions,factual,who holds the power in an absolute monarchy
NQ_003,natural_questions,factual,who plays the guy in call me maybe
NQ_004,natural_questions,factual,where does season of migration to the north take place
NQ_005,natural_questions,factual,when did blue m and ms come out
NQ_006,natural_questions,factual,what results from the binding of tsh to its receptors
NQ_007,natural_questions,factual,when did to kill a mokingbird take place
NQ_008,natural_questions,factual,who plays jack shephard's son in lost
NQ_009,natural_questions,factual,who wrote i want to talk about me
NQ_010,natural_questions,factual,what does dc stand for in dungeons and dragons
NQ_011,natural_questions,factual,what is the purpose of the ttl field
NQ_012,natural_questions,factual,when is celebrity big brother coming to cbs
NQ_013,natural_questions,factual,what is the sequel to the lion the witch and the wardrobe
NQ_014,natural_questions,factual,who is the voice in the belko experiment
NQ_015,natural_questions,factual,who said psychology is the science of mental life
NQ_016,natural_questions,factual,when did malaysia gain independence from great britain
NQ_017,natural_questions,factual,where do purple martins go for the winter
NQ_018,natural_questions,factual,who played nancy's boyfriend in stranger things
NQ_019,natural_questions,factual,what is the second movie of the pirates of the caribbean
NQ_020,natural_questions,factual,who sang the theme song for the brady bunch
NQ_021,natural_questions,factual,who has the right to vote in indonesia
NQ_022,natural_questions,factual,what is the capacity of earls court in london
NQ_023,natural_questions,factual,who sang the song let the music play
NQ_024,natural_questions,factual,who was the oldest man that lived in the bible
NQ_025,natural_questions,factual,when was the arc of the covenant lost
NQ_026,natural_questions,factual,what does it mean snape is the half blood prince
NQ_027,natural_questions,factual,what is the purpose of comparing bone structures
NQ_028,natural_questions,factual,who played superman's mother in the 1978 movie
NQ_029,natural_questions,factual,where does bile come from when you vomit
NQ_030,natural_questions,factual,when did the verizon guy switched to sprint
NQ_031,natural_questions,factual,what year did the last veteran of the civil war die
NQ_032,natural_questions,factual,when is puss in boots season 6 coming out
NQ_033,natural_questions,factual,where is the london school of economics located
NQ_034,natural_questions,factual,who did france transfer the louisiana territory to after the french and indian war
NQ_035,natural_questions,factual,who is the original singer of running up that hill
NQ_036,natural_questions,factual,where is national open university of nigeria located
NQ_037,natural_questions,factual,who makes the final decision on the blocking of the actors
NQ_038,natural_questions,factual,when was ankara made the capital of turkey
NQ_039,natural_questions,factual,what island is atlantis on in the bahamas
NQ_040,natural_questions,factual,what county is cherry hill new jersey in
NQ_041,natural_questions,factual,when does marvel's infinity war 2 come out
NQ_042,natural_questions,factual,when does the fourth season of the flash come out
NQ_043,natural_questions,factual,when was the sound of music musical written
NQ_044,natural_questions,factual,who does the voice of batman in the lego batman movie
NQ_045,natural_questions,factual,who said when i was a child i spoke as a child
NQ_046,natural_questions,factual,when was imperial bank was changed as sbi
NQ_047,natural_questions,factual,who said a nation divided cannot stand
NQ_048,natural_questions,factual,who is the guy that does the carmax commercials
NQ_049,natural_questions,factual,who ran as a third party candidate in 1992
NQ_050,natural_questions,factual,where does the movie three billboards take place
NQ_051,natural_questions,factual,where do copied items come from in word
NQ_052,natural_questions,factual,who plays nikki on saved by the bell
NQ_053,natural_questions,factual,who sang eagles i can't tell you why
NQ_054,natural_questions,factual,who played the kid in sleepless in seattle
NQ_055,natural_questions,factual,what is the median income in the us
NQ_056,natural_questions,factual,who sings you're welcome in the credits of moana
NQ_057,natural_questions,factual,who played diana in the movie lights out
NQ_058,natural_questions,factual,what was the aim of the cultural revolution
NQ_059,natural_questions,factual,who wrote the song for once in my life
NQ_060,natural_questions,factual,who figured out that the sun is the center of the solar system
NQ_061,natural_questions,factual,who sings the song stroke me stroke me
NQ_062,natural_questions,factual,when will fifty shades freed movie be released
NQ_063,natural_questions,factual,who has won the most world cups as a player
NQ_064,natural_questions,factual,when did the original jaws movie come out
NQ_065,natural_questions,factual,what was the first chain of hamburger resturants in the united states
NQ_066,natural_questions,factual,who played warren in orange is the new black
NQ_067,natural_questions,factual,who sings eagles take it to the limit
NQ_068,natural_questions,factual,when did the first railroad cross the western sierra madre
NQ_069,natural_questions,factual,where do you expect to find articular cartilage
NQ_070,natural_questions,factual,when was the great wall of china done
NQ_071,natural_questions,factual,who wrote please don't take my sunshine away
NQ_072,natural_questions,factual,what types of advantages did steel give to the spanish
NQ_073,natural_questions,factual,what year did beyonce do the super bowl
NQ_074,natural_questions,factual,who plays pat in rise of the footsoldier
NQ_075,natural_questions,factual,who framed elsa in once upon a time
NQ_076,natural_questions,factual,where do they play the red river rivalry
NQ_077,natural_questions,factual,where did the second seminole war take place
NQ_078,natural_questions,factual,who was the first president of ivory coast
NQ_079,natural_questions,factual,when did jane austen wrote pride and prejudice
NQ_080,natural_questions,factual,when does madden 18 come out on xbox 360
NQ_081,natural_questions,factual,who sang the song you'll never walk alone in 1963
NQ_082,natural_questions,factual,when did the big ten championship game start
NQ_083,natural_questions,factual,when did the star spangle banner become the national anthem
NQ_084,natural_questions,factual,who voices stoic in how to train your dragon
NQ_085,natural_questions,factual,what is the traditional dividing line between europe and asia
NQ_086,natural_questions,factual,when is halley's comet predicted to be near earth
NQ_087,natural_questions,factual,what organs are in the middle of the chest
NQ_088,natural_questions,factual,what does nitrogen gas do to your body
NQ_089,natural_questions,factual,who sings been through the desert on a horse with no name
NQ_090,natural_questions,factual,where did the term fat cat come from
NQ_091,natural_questions,factual,who plays dr. k in this is us
NQ_092,natural_questions,factual,who takes over for the president if he cannot fulfill his duty
NQ_093,natural_questions,factual,who claimed victory at the battle of bull run
NQ_094,natural_questions,factual,what do you call more than one hypothesis
NQ_095,natural_questions,factual,where was the first house of blues located
NQ_096,natural_questions,factual,when was the final version of the bible created
NQ_097,natural_questions,factual,who was authorised to draw the boundary line in 1947 in india
NQ_098,natural_questions,factual,where did the lasso of truth come from
NQ_099,natural_questions,factual,who played jon arryn in game of thrones
NQ_100,natural_questions,factual,where did they film the first twilight movie
NQ_101,natural_questions,explanatory,how fast can a greyhound run in mph
NQ_102,natural_questions,explanatory,how many chargers used in dukes of hazzard movie
NQ_103,natural_questions,explanatory,how many kings did the mughal empire witness in 1719
NQ_104,natural_questions,explanatory,how many goals did ronaldo score in ucl
NQ_105,natural_questions,explanatory,why is it called tgs on 30 rock
NQ_106,natural_questions,explanatory,how many square feet were the twin towers
NQ_107,natural_questions,explanatory,how many yards in a cfl football field
NQ_108,natural_questions,explanatory,how many books can i upload to google books
NQ_109,natural_questions,explanatory,how many events make up the us pga tour's fedex cup playoffs
NQ_110,natural_questions,explanatory,why do so many medications have hcl in them
NQ_111,natural_questions,explanatory,how many versions of mario kart are there
NQ_112,natural_questions,explanatory,how many nhl team have not won the stanley cup
NQ_113,natural_questions,explanatory,how to calculate the clearance of a drug
NQ_114,natural_questions,explanatory,how many cast members from gone with the wind are still alive
NQ_115,natural_questions,explanatory,how many episodes got season 7 of game of thrones
NQ_116,natural_questions,explanatory,how many times does boondock saints say the f word
NQ_117,natural_questions,explanatory,how much money did the twilight franchise make
NQ_118,natural_questions,explanatory,how many new zealand soldiers died in ww1
NQ_119,natural_questions,explanatory,how many branches of metrobank in the philippines
NQ_120,natural_questions,explanatory,how many animals are at the cleveland zoo
NQ_121,natural_questions,explanatory,how many seasons were there for stargate atlantis
NQ_122,natural_questions,explanatory,how many constituencies are there in lok sabha
NQ_123,natural_questions,explanatory,how many episodes of gossip girl are there altogether
NQ_124,natural_questions,explanatory,how many hours is considered a full-time job
NQ_125,natural_questions,explanatory,why is a crotchet called a quarter note
NQ_126,natural_questions,explanatory,how many keys does a piano have full size
NQ_127,natural_questions,explanatory,how many episodes of our girl season 3
NQ_128,natural_questions,explanatory,why do ping pong paddles have two different sides
NQ_129,natural_questions,explanatory,how do i make the dean's list in college
NQ_130,natural_questions,explanatory,how many countries can i go with british passport
NQ_131,natural_questions,explanatory,how many episodes of happy valley season 2
NQ_132,natural_questions,explanatory,how many times india won olympic gold in hockey
NQ_133,natural_questions,explanatory,how old is scarlett at the beginning of gone with the wind
NQ_134,natural_questions,explanatory,how many senators are there in the philippines
NQ_135,natural_questions,explanatory,how many culver's are there in the united states
NQ_136,natural_questions,explanatory,how much gold does the uk government hold
NQ_137,natural_questions,explanatory,why do cans of guinness have balls in them
NQ_138,natural_questions,explanatory,how did disney get the rights to avatar
NQ_139,natural_questions,explanatory,how are cheques cleared by the banks in india
NQ_140,natural_questions,explanatory,how did the french help america fight the british navy
NQ_141,natural_questions,explanatory,how old do you have to be to serve alcohol in pennsylvania
NQ_142,natural_questions,explanatory,how long do eastern tent caterpillars stay in their cocoons
NQ_143,natural_questions,explanatory,how did america become part of the british empire
NQ_144,natural_questions,explanatory,how long does it take to walk the length of britain
NQ_145,natural_questions,explanatory,how long was the eiffel tower the tallest building in the world
NQ_146,natural_questions,explanatory,how many chapters does the book of ruth have
NQ_147,natural_questions,explanatory,how much did hms victory cost to build
NQ_148,natural_questions,explanatory,how many years until a sea turtle comes back to lay eggs
NQ_149,natural_questions,explanatory,why is the birth of modern science called a revolution
NQ_150,natural_questions,explanatory,how many game of thrones books will there be
